S.No,District,Covishield_HCW_1st,Covishield_HCW_2nd,Covishield_FLW_1st,Covishield_FLW_2nd,Covishield_18_44_1st,Covishield_18_44_2nd,Covishield_45_60_Comorb_1st,Covishield_45_60_Comorb_2nd,Covishield_60_Comorb_1st,Covishield_60_Comorb_2nd,Covishield_Total_1st,Covishield_Total_2nd,Covaxin_HCW_1st,Covaxin_HCW_2nd,Covaxin_FLW_1st,Covaxin_FLW_2nd,Covaxin_18_44_1st,Covaxin_18_44_2nd,Covaxin_45_60_Comorb_1st,Covaxin_45_60_Comorb_2nd,Covaxin_60_Comorb_1st,Covaxin_60_Comorb_2nd,Covaxin_Total_1st,Covaxin_Total_2nd,Total_HCW_1st,Total_HCW_2nd,Total_FLW_1st,Total_FLW_2nd,Total_18_44_1st,Total_18_44_2nd,Total_45_60_Comorb_1st,Total_45_60_Comorb_2nd,Total_60_Comorb_1st,Total_60_Comorb_2nd,Total_All_1st,Total_All_2nd,Total_All_Vaccinations,Total_HCW_Vaccination,Total_FLW_Vaccination,Total_Covishield_Vaccination,Total_Covaxin_Vaccination,Vaccination_Efficiency,Total_18_44_Vaccination,Total_45_60_Comorb_Vaccination,Total_60_Comorb_Vaccination,Covishield_Preference_Ratio,District_Performance_Score
1.0,Aranthangi,2374,1231,2277,866,26869,0,24192,4668,12218,2750,67930,9515,129,77,297,119,4276,0,3386,984,904,354,8992,1534,2503,1308,2574,985,31145,0,27578,5652,13122,3104,76922,11049,87971,3811,3559,77445,10526,14.363901094615326,31145,33230,16226,88.03469325118505,0.004318425497435514
2.0,Ariyalur,4069,2593,9037,4563,32986,0,28867,3879,13301,2685,88260,13720,154,131,803,498,4436,0,2809,803,533,202,8735,1634,4223,2724,9840,5061,37422,0,31676,4682,13834,2887,96995,15354,112349,6947,14901,101980,10369,15.829681942368163,37422,36358,16721,90.77072337092453,0.028853420159505098
3.0,Attur,5548,4971,9933,3670,34590,33,76969,20255,41823,11796,168863,40725,148,327,231,91,5157,7,6340,3452,3009,1668,14885,5545,5696,5298,10164,3761,39747,40,83309,23707,44832,13464,183748,46270,230018,10994,13925,209588,20430,25.181226462328844,39787,107016,58296,91.11808641062873,0.17115737428715286
4.0,Chengalpet,22115,8575,22380,6485,104500,0,102692,29009,89426,30757,341113,74826,2576,1695,1297,1048,21341,232,12004,6720,6660,4332,43878,14027,24691,10270,23677,7533,125841,232,114696,35729,96086,35089,384991,88853,473844,34961,31210,415939,57905,23.079240813421613,126073,150425,131175,87.77973341437266,0.1544607655199353
5.0,Chennai,79789,42940,151967,30113,288163,753,517048,155469,364361,167973,1401328,397248,18063,10664,50428,28874,79898,2112,138058,103479,96495,71362,382942,216491,97852,53604,202395,58987,368061,2865,655106,258948,460856,239335,1784270,613739,2398009,151456,261382,1798576,599433,34.397204458966414,370926,914054,700191,75.00288781234767,0.4346733577588977
6.0,Cheyyar,2386,1732,3869,1842,41273,0,19248,3524,8509,2813,75285,9911,245,162,427,220,6293,137,4503,2353,2461,1655,13929,4527,2631,1894,4296,2062,47566,137,23751,5877,10970,4468,89214,14438,103652,4525,6358,85196,18456,16.183558634295068,47703,29628,15438,82.19426542661984,0.03218432964586611
7.0,Coimbatore,42168,23014,23517,27871,133224,0,209412,37941,166210,54404,574531,143230,2893,3772,2638,4908,35350,256,30021,11620,20268,8625,91170,29181,45061,26786,26155,32779,168574,256,239433,49561,186478,63029,665701,172411,838112,71847,58934,717761,120351,25.899164940416192,168830,288994,249507,85.64022469550609,0.21794310596785788
8.0,Cuddalore,8017,4768,12571,3890,90629,0,80937,19962,38481,12990,230635,41610,1688,886,1993,1111,12055,12,14930,9749,8521,4939,39187,16697,9705,5654,14564,5001,102684,12,95867,29711,47002,17929,269822,58307,328129,15359,19565,272245,55884,21.60943140292489,102696,125578,64931,82.96889333158606,0.12308159123278196
9.0,Dharmapuri,8912,5777,14363,6943,62889,0,47000,8592,20831,5045,153995,26357,961,542,744,409,9836,306,7255,3135,3461,1736,22257,6128,9873,6319,15107,7352,72725,306,54255,11727,24292,6781,176252,32485,208737,16192,22459,180352,28385,18.430996527698976,73031,65982,31073,86.40154835989786,0.07297137158034168
10.0,Dindigul,6980,3683,11699,5626,53229,5,36624,9127,23198,6863,131730,25304,698,198,657,452,6520,0,6181,2585,4052,2324,18108,5559,7678,3881,12356,6078,59749,5,42805,11712,27250,9187,149838,30863,180701,11559,18434,157034,23667,20.597578718349148,59754,54517,36437,86.90267347718054,0.1026839962068209
11.0,Erode,13811,7199,12201,4352,97236,5,76318,14272,54038,15261,253604,41089,1628,792,1894,681,19611,9,16463,7023,10718,5290,50314,13795,15439,7991,14095,5033,116847,14,92781,21295,64756,20551,303918,54884,358802,23430,19128,294693,64109,18.058818497094613,116861,114076,85307,82.13248532616875,0.07301617313862792
12.0,Kallakurichi,5287,3899,7708,4494,56564,1,34053,6223,20276,5597,123888,20214,236,179,455,235,9146,8,4685,1510,1957,948,16479,2880,5523,4078,8163,4729,65710,9,38738,7733,22233,6545,140367,23094,163461,9601,12892,144102,19359,16.452585009297056,65719,46471,28778,88.15680804595591,0.0398454298536479
13.0,Kanchipuram,10059,5845,6933,2464,67833,0,34856,8261,16556,6154,136237,22724,974,557,601,366,8687,0,2906,1730,2069,1059,15237,3712,11033,6402,7534,2830,76520,0,37762,9991,18625,7213,151474,26436,177910,17435,10364,158961,18949,17.452500099026896,76520,47753,25838,89.34910910010679,0.056101208084140534
14.0,Karur,6146,2982,7176,2377,50911,0,46348,10577,13430,4130,124011,20066,411,173,816,364,10415,795,6702,2486,2141,913,20485,4731,6557,3155,7992,2741,61326,795,53050,13063,15571,5043,144496,24797,169293,9712,10733,144077,25216,17.161028678994576,62121,66113,20614,85.10511361958262,0.050204442877554455
15.0,Kovilpatti,2567,1858,3209,1787,29491,0,23327,3533,17023,4486,75617,11664,368,474,358,309,8285,9,3130,1181,2167,1234,14308,3207,2935,2332,3567,2096,37776,9,26457,4714,19190,5720,89925,14871,104796,5267,5663,87281,17515,16.537114261884906,37785,31171,24910,83.28657582350472,0.03747408958445258
16.0,Krishnagiri,9646,5678,15051,5794,94270,0,74937,20143,36256,11994,230160,43609,562,423,1014,523,18917,4,9181,6336,5131,3375,34805,10661,10208,6101,16065,6317,113187,4,84118,26479,41387,15369,264965,54270,319235,16309,22382,273769,45466,20.481950446285357,113191,110597,56756,85.75782730590318,0.10672210243903309
17.0,Madurai,27747,17206,20354,6640,113761,42,124593,26509,78264,28512,364719,78909,3602,2564,790,361,15573,46,14608,8824,8083,5753,42656,17548,31349,19770,21144,7001,129334,88,139201,35333,86347,34265,407375,96457,503832,51119,28145,443628,60204,23.67769254372507,129422,174534,120612,88.05077883103893,0.16668696834691582
18.0,Nagapattinam,4379,2808,12381,6230,57973,1,33752,5863,21149,5339,129634,20241,452,311,448,277,9985,13,6512,2249,3292,1966,20689,4816,4831,3119,12829,6507,67958,14,40264,8112,24441,7305,150323,25057,175380,7950,19336,149875,25505,16.66877324161971,67972,48376,31746,85.45729273577375,0.044012319130208
19.0,Kanyakumari,16817,9495,15048,7145,78498,217,64252,13765,40473,12807,215088,43429,993,302,388,204,15239,473,10133,4320,5594,3397,32347,8696,17810,9797,15436,7349,93737,690,74385,18085,46067,16204,247435,52125,299560,27607,22785,258517,41043,21.066138581849778,94427,92470,62271,86.29890506075577,0.11679493810843225
20.0,Namakkal,8450,4789,18372,7917,77490,0,73499,20537,46547,16710,224358,49953,492,408,2547,1264,14479,317,12796,6692,7831,4485,38145,13166,8942,5197,20919,9181,91969,317,86295,27229,54378,21195,262503,63119,325622,14139,30100,274311,51311,24.045058532664388,92286,113524,75573,84.24215808514167,0.16019883924557485
21.0,Palani,2954,2653,11693,5901,34839,795,30259,6795,17309,4758,97054,20902,145,64,741,245,4343,0,4672,2657,2198,1045,12099,4011,3099,2717,12434,6146,39182,795,34931,9452,19507,5803,109153,24913,134066,5816,18580,117956,16110,22.823926048757247,39977,44383,25310,87.98353049990303,0.13307690053833077
22.0,Paramakudi,2331,1742,3692,2284,27183,0,24743,3707,16380,3424,74329,11157,89,44,324,228,3919,93,2699,719,1470,527,8501,1611,2420,1786,4016,2512,31102,93,27442,4426,17850,3951,82830,12768,95598,4206,6528,85486,10112,15.414704817095256,31195,31868,21801,89.42237285298856,0.020550359644713696
23.0,Perambalur,3206,2247,4382,2230,26137,0,20168,4074,12387,2881,66280,11432,231,227,87,163,5682,52,2183,558,794,449,8977,1449,3437,2474,4469,2393,31819,52,22351,4632,13181,3330,75257,12881,88138,5911,6862,77712,10426,17.11601578590696,31871,26983,16511,88.17082302752502,0.04577673189749671
24.0,Poonamallee,4199,1964,8154,3521,28486,46,31715,8114,19353,6650,91907,20295,107,55,97,47,7127,27,3126,1332,799,606,11256,2067,4306,2019,8251,3568,35613,73,34841,9446,20152,7256,103163,22362,125525,6325,11819,112202,13323,21.676376220156452,35686,44287,27408,89.38617805218084,0.11502217492172638
25.0,Pudukkottai,3516,1872,4302,1205,34195,3,35571,6608,16306,4904,93890,14592,1102,622,609,309,6879,87,3494,2080,1742,1083,13826,4181,4618,2494,4911,1514,41074,90,39065,8688,18048,5987,107716,18773,126489,7112,6425,108482,18007,17.428237216383824,41164,47753,24035,85.76397947647621,0.0517423060610776
26.0,Ramanathapuram,3573,2300,4220,2484,28316,392,20460,2761,8677,1986,65246,9923,457,303,968,538,4015,255,3444,1310,1588,792,10472,3198,4030,2603,5188,3022,32331,647,23904,4071,10265,2778,75718,13121,88839,6633,8210,75169,13670,17.328772550780528,32978,27975,13043,84.61261382951182,0.049254924171489335
27.0,Ranipet,3578,1744,12810,3563,50792,0,27176,5020,15469,3666,109825,13993,140,140,383,187,4539,0,4916,2584,2282,1120,12260,4031,3718,1884,13193,3750,55331,0,32092,7604,17751,4786,122085,18024,140109,5602,16943,123818,16291,14.763484457550065,55331,39696,22537,88.37262417118102,0.0140328474514358
28.0,Salem,19499,12520,22619,11475,111295,0,78689,25460,48382,20490,280484,69945,2304,975,1556,970,13706,0,25959,14020,14689,6494,58214,22459,21803,13495,24175,12445,125001,0,104648,39480,63071,26984,338698,92404,431102,35298,36620,350429,80673,27.28212153599962,125001,144128,90055,81.28679523639417,0.2159632699704438
29.0,Sivaganga,10783,10499,10541,3880,51925,11,30354,2928,29896,2138,133499,19456,1004,1467,699,1192,7757,99,7220,1627,5672,1296,22352,5681,11787,11966,11240,5072,59682,110,37574,4555,35568,3434,155851,25137,180988,23753,16312,152955,28033,16.128866673938568,59792,42129,39002,84.51112780957854,0.03861388209013359
30.0,Sivakasi,6027,3429,7769,2977,47028,436,59980,16613,34145,12339,154949,35794,292,137,126,51,7232,87,4051,1054,986,528,12687,1857,6319,3566,7895,3028,54260,523,64031,17667,35131,12867,167636,37651,205287,9885,10923,190743,14544,22.459972798205634,54783,81698,47998,92.91528445542095,0.12960162430136857
31.0,Tenkasi,5680,2799,12438,4513,59305,0,35088,8941,21351,7628,133862,23881,216,38,388,78,9218,0,4660,1183,2490,733,16972,2032,5896,2837,12826,4591,68523,0,39748,10124,23841,8361,150834,25913,176747,8733,17417,157743,19004,17.179813569884775,68523,49872,32202,89.24790802672747,0.05147061422485951
32.0,Thanjavur,12113,7442,23795,11392,93413,80,69340,16468,43803,14063,242464,49445,2838,1884,1077,795,13404,2,10258,4872,6813,4063,34390,11616,14951,9326,24872,12187,106817,82,79598,21340,50616,18126,276854,61061,337915,24277,37059,291909,46006,22.055307129389497,106899,100938,68742,86.38533358980808,0.1339902110597139
33.0,Nilgiris,5160,3384,11735,5659,45173,57,70983,22555,42982,16604,176033,48259,43,25,1592,582,7912,30,7337,4874,3400,2217,20284,7728,5203,3409,13327,6241,53085,87,78320,27429,46382,18821,196317,55987,252304,8612,19568,224292,28012,28.51867133258964,53172,105749,65203,88.8975204515188,0.22147641605090213
34.0,Theni,5361,3050,7882,3554,62517,219,33400,9674,24721,9386,133881,25883,459,204,704,316,7500,6,5629,2634,4932,1998,19224,5158,5820,3254,8586,3870,70017,225,39029,12308,29653,11384,153105,31041,184146,9074,12456,159764,24382,20.274321544038404,70242,51337,41037,86.75941915653883,0.09674737021708167
35.0,Tirupattur,3412,2108,12345,5538,57868,0,39131,7865,19531,5170,132287,20681,240,143,513,327,7538,158,5045,2441,2825,1549,16161,4618,3652,2251,12858,5865,65406,158,44176,10306,22356,6719,148448,25299,173747,5903,18723,152968,20779,17.042331321405477,65564,54482,29075,88.04065681709612,0.04902476748667922
36.0,Tiruchirappalli,18805,10516,21525,7752,123187,726,111002,21668,80361,21915,354880,62577,3316,2214,833,443,23984,151,10404,4086,5551,3284,44088,10178,22121,12730,22358,8195,147171,877,121406,25754,85912,25199,398968,72755,471723,34851,30553,417457,54266,18.2357983597682,148048,147160,111111,88.49621493969978,0.08279644061022425
37.0,Tirunelveli,8905,5398,12056,5420,73305,96,38463,6579,23044,8637,155773,26130,1637,1211,743,633,9993,263,7190,3465,4920,3154,24483,8726,10542,6609,12799,6053,83298,359,45653,10044,27964,11791,180256,34856,215112,17151,18852,181903,33209,19.33694301437955,83657,55697,39755,84.56199561158839,0.08621220655436967
38.0,Tiruppur,10474,6690,10535,5561,122627,0,80243,16766,56613,14656,280492,43673,1106,361,1222,656,18643,86,13116,5765,8809,4076,42896,10944,11580,7051,11757,6217,141270,86,93359,22531,65422,18732,323388,54617,378005,18631,17974,324165,53840,16.88900021027373,141356,115890,84154,85.7568021587016,0.05533802314170018
39.0,Tiruvallur,9344,4885,22000,10562,86086,0,61952,13591,27106,8466,206488,37504,463,95,1446,1273,17181,116,6996,4735,4844,3638,30930,9857,9807,4980,23446,11835,103267,116,68948,18326,31950,12104,237418,47361,284779,14787,35281,243992,40787,19.948361118365078,103383,87274,44054,85.67766583912437,0.09928688830430678
40.0,Tiruvannamalai,5095,3069,8273,3585,54831,0,29109,6178,22966,5391,120274,18223,549,287,536,228,9464,0,4408,1595,2892,1473,17849,3583,5644,3356,8809,3813,64295,0,33517,7773,25858,6864,138123,21806,159929,9000,12622,138497,21432,15.787377916784315,64295,41290,32722,86.59905332991515,0.02977182386454708
41.0,Tiruvarur,3652,2472,7029,3273,59978,0,39003,5286,16949,4473,126611,15504,800,450,833,582,8487,59,7022,2508,3369,1599,20511,5198,4452,2922,7862,3855,68465,59,46025,7794,20318,6072,147122,20702,167824,7374,11717,142115,25709,14.071314963091854,68524,53819,26390,84.68097530746496,0.004276066277587653
42.0,Thoothukudi,4768,3123,5913,2662,48135,0,17957,3122,26658,4143,103431,13050,676,368,664,585,6097,205,3758,2449,4234,1859,15429,5466,5444,3491,6577,3247,54232,205,21715,5571,30892,6002,118860,18516,137376,8935,9824,116481,20895,15.57799091367996,54437,27286,36894,84.78991963661775,0.025572666611428343
43.0,Vellore,19675,13180,16576,7444,49656,0,53221,13513,32322,9940,171450,44077,2160,1278,4583,3692,11092,486,20858,10480,12662,6467,51355,22403,21835,14458,21159,11136,60748,486,74079,23993,44984,16407,222805,66480,289285,36293,32295,215527,73758,29.837750499315547,61234,98072,61391,74.50334445270235,0.24880609161589745
44.0,Villupuram,8568,4284,16659,3880,67160,0,69742,21959,26677,5817,188806,35940,1343,587,491,273,10105,176,4955,2630,2459,1201,19353,4867,9911,4871,17150,4153,77265,176,74697,24589,29136,7018,208159,40807,248966,14782,21303,224746,24220,19.60376443007509,77441,99286,36154,90.27176401597006,0.0911321531187094
45.0,Virudhunagar,4227,2237,10365,3787,34805,0,47311,17447,27242,9099,123950,32570,234,136,960,279,5296,0,4209,2131,2683,1324,13382,3870,4461,2373,11325,4066,40101,0,51520,19578,29925,10423,137332,36440,173772,6834,15391,156520,17252,26.53423819648734,40101,71098,40348,90.07204843127776,0.18882395928790574
0.0,Total,472172,276650,669354,265171,3070621,3918,2883984,695801,1833000,617690,8929131,1859230,59224,37952,91001,56986,546612,7174,490212,271020,300450,178192,1487499,551324,531396,314602,760355,322157,3617233,11092,3374196,966821,2133450,795882,10416630,2410554,12827184,845998,1082512,10788361,2038823,23.1413998577275,3628325,4341017,2929332,84.10545136017383,0.8338699331678925
